knowledge,history,gpt2,begin_label,vrm_label
"Football is a family of team sports that involve , to varying degrees , kicking a ball to score a goal .   Unqualified , the word football is understood to refer to whichever form of football is the most popular in the regional context in which the word appears . Sports commonly called football in certain places include association football ( known as soccer in some countries ) ; gridiron football ( specifically American football or Canadian football ) ; Australian rules football ; rugby football ( either rugby league or rugby union ) ; and Gaelic football . These different variations of football are known as football codes . the University of Iowa 's locker room for visiting football teams is completely painted pink in the 1960 's top bowlers made twice as much as top football stars - That the highest score ever in a football game occurred in 1916 when Georgia Tech defeated Cumberland 222 - 0 ESPN won an emmy for the creation of the superimposed yellow line representing the first down line for American football games . Former Partiots RB BenJarvus Green - Ellis has never fumbled the football in his NFL career .",I 've heard that . Was n't it a Patriot player ?,"No, but it is a funny story, Green never fumbled in his entire career.","entailment,hallucination","disclosure,edification,ack.,confirmation"
"Football is a family of team sports that involve , to varying degrees , kicking a ball to score a goal .   Unqualified , the word football is understood to refer to whichever form of football is the most popular in the regional context in which the word appears . Sports commonly called football in certain places include association football ( known as soccer in some countries ) ; gridiron football ( specifically American football or Canadian football ) ; Australian rules football ; rugby football ( either rugby league or rugby union ) ; and Gaelic football . These different variations of football are known as football codes . the University of Iowa 's locker room for visiting football teams is completely painted pink in the 1960 's top bowlers made twice as much as top football stars - That the highest score ever in a football game occurred in 1916 when Georgia Tech defeated Cumberland 222 - 0 ESPN won an emmy for the creation of the superimposed yellow line representing the first down line for American football games . Former Partiots RB BenJarvus Green - Ellis has never fumbled the football in his NFL career .",It was . It was a running back by the name of Benjarvus Green Ellis .,That is pretty cool. I like how he played for the Patriots.,"entailment,hallucination","disclosure,ack."
"Football is a family of team sports that involve , to varying degrees , kicking a ball to score a goal .   Unqualified , the word football is understood to refer to whichever form of football is the most popular in the regional context in which the word appears . Sports commonly called football in certain places include association football ( known as soccer in some countries ) ; gridiron football ( specifically American football or Canadian football ) ; Australian rules football ; rugby football ( either rugby league or rugby union ) ; and Gaelic football . These different variations of football are known as football codes . the University of Iowa 's locker room for visiting football teams is completely painted pink in the 1960 's top bowlers made twice as much as top football stars - That the highest score ever in a football game occurred in 1916 when Georgia Tech defeated Cumberland 222 - 0 ESPN won an emmy for the creation of the superimposed yellow line representing the first down line for American football games . Former Partiots RB BenJarvus Green - Ellis has never fumbled the football in his NFL career .",That is an interesting name . It 's like he has a lot of names .,Football is an interesting sport. It is also very popular in Australia.,hallucination,edification
"Football is a family of team sports that involve , to varying degrees , kicking a ball to score a goal .   Unqualified , the word football is understood to refer to whichever form of football is the most popular in the regional context in which the word appears . Sports commonly called football in certain places include association football ( known as soccer in some countries ) ; gridiron football ( specifically American football or Canadian football ) ; Australian rules football ; rugby football ( either rugby league or rugby union ) ; and Gaelic football . These different variations of football are known as football codes . the University of Iowa 's locker room for visiting football teams is completely painted pink in the 1960 's top bowlers made twice as much as top football stars - That the highest score ever in a football game occurred in 1916 when Georgia Tech defeated Cumberland 222 - 0 ESPN won an emmy for the creation of the superimposed yellow line representing the first down line for American football games . Former Partiots RB BenJarvus Green - Ellis has never fumbled the football in his NFL career . Television ( TV ) , sometimes shortened to tele or telly , is a telecommunication medium used for transmitting moving images in monochrome ( black and white ) , or in colour , and in two or three dimensions and sound . The term can refer to a television set , a television program ( "" TV show "" ) , or the medium of television transmission . Television is a mass medium for advertising , entertainment and news . when South Park aired its family guy episode finale the producers received flowers from The Simpsons crew Ringo Starr , George Carlin , and Alec Baldwin have all narrated Thomas the Tank Engine for at least 52 episodes each there is only one episode of "" The Simpsons "" where Bart neither appears , nor is mentioned 70 's Show was remade verbatim in the UK . ' Days like these ' was cancelled after 10 episodes . There are over 750 episodes of "" Pokémon . "" That 's about 50 a year for 16 years straight .",No . I do n't have regular cable . I use a ROKU and I think you would have to pay extra for ESPN . I did n't watch it when I did have cable though .,"I watched it a few years ago when I was younger, I was hooked. It was good. It had some great shows. I was looking forward to the new seasons though.",hallucination,disclosure
"Television ( TV ) , sometimes shortened to tele or telly , is a telecommunication medium used for transmitting moving images in monochrome ( black and white ) , or in colour , and in two or three dimensions and sound . The term can refer to a television set , a television program ( "" TV show "" ) , or the medium of television transmission . Television is a mass medium for advertising , entertainment and news . when South Park aired its family guy episode finale the producers received flowers from The Simpsons crew Ringo Starr , George Carlin , and Alec Baldwin have all narrated Thomas the Tank Engine for at least 52 episodes each there is only one episode of "" The Simpsons "" where Bart neither appears , nor is mentioned 70 's Show was remade verbatim in the UK . ' Days like these ' was cancelled after 10 episodes . There are over 750 episodes of "" Pokémon . "" That 's about 50 a year for 16 years straight .","No , I have n't watch pokemon . My sons use to play with the when they were little . Now they use their phones looking for pokemon in the neighborhood . It is funny .",hi how are you? I have not seen pokemon. i am more into cartoons.,hallucination,"disclosure,question,ack."
"Keith Jackson , the folksy voice of college football who for decades wove backwoods wit throughout his Saturday afternoon broadcasts on ABC , died Jan. 12 . He was 89 . ESPN first announced his death . Other details were not immediately available . In a 54 - year broadcasting career , Mr. Jackson covered a wide variety of sports for radio and television , but he was best known as ABC 's voice of NCAA football - and for the homespun phrases he used . To Mr. Jackson , linemen were not guards and tackles , they were "" the big uglies . "" Running backs did not drop the ball ; there was a "" fuumm - bull ! "" Of an undersized player , he might say , "" He 's a little - bitty thing , a bantam rooster . But he 's young . If he keeps eatin ' his cornbread , he 'll be man - sized someday . "" And , of course , there was "" Whoa , Nellie ! "" - his signature phrase . Mr. Jackson in 2014 . ( Dean Hare / AP ) Or was it ? Strangers in restaurants , airports , stadium parking lots and downtown streets would sidle up to Mr. Jackson and bellow , "" Whoa , Nellie ! """,,"Keith Jackson , the folksy voice of college football who for decades wove backwoods","entailment,uncooperative","question,ack."
"Keith Jackson , the folksy voice of college football who for decades wove backwoods wit throughout his Saturday afternoon broadcasts on ABC , died Jan. 12 . He was 89 . ESPN first announced his death . Other details were not immediately available . In a 54 - year broadcasting career , Mr. Jackson covered a wide variety of sports for radio and television , but he was best known as ABC 's voice of NCAA football - and for the homespun phrases he used . To Mr. Jackson , linemen were not guards and tackles , they were "" the big uglies . "" Running backs did not drop the ball ; there was a "" fuumm - bull ! "" Of an undersized player , he might say , "" He 's a little - bitty thing , a bantam rooster . But he 's young . If he keeps eatin ' his cornbread , he 'll be man - sized someday . "" And , of course , there was "" Whoa , Nellie ! "" - his signature phrase . Mr. Jackson in 2014 . ( Dean Hare / AP ) Or was it ? Strangers in restaurants , airports , stadium parking lots and downtown streets would sidle up to Mr. Jackson and bellow , "" Whoa , Nellie ! """,What do you think about Keith Jacksons death ?,I think he was a great comedian and he was a very funny guy.,hallucination,disclosure
"Keith Jackson , the folksy voice of college football who for decades wove backwoods wit throughout his Saturday afternoon broadcasts on ABC , died Jan. 12 . He was 89 . ESPN first announced his death . Other details were not immediately available . In a 54 - year broadcasting career , Mr. Jackson covered a wide variety of sports for radio and television , but he was best known as ABC 's voice of NCAA football - and for the homespun phrases he used . To Mr. Jackson , linemen were not guards and tackles , they were "" the big uglies . "" Running backs did not drop the ball ; there was a "" fuumm - bull ! "" Of an undersized player , he might say , "" He 's a little - bitty thing , a bantam rooster . But he 's young . If he keeps eatin ' his cornbread , he 'll be man - sized someday . "" And , of course , there was "" Whoa , Nellie ! "" - his signature phrase . Mr. Jackson in 2014 . ( Dean Hare / AP ) Or was it ? Strangers in restaurants , airports , stadium parking lots and downtown streets would sidle up to Mr. Jackson and bellow , "" Whoa , Nellie ! """,It 's sad . I wonder how many people grew up hearing his voice ?,"I am not sure ,  but he was a voice for college football for over 54 years,  it was great !",hallucination,"disclosure,edification,ack."
"Keith Jackson , the folksy voice of college football who for decades wove backwoods wit throughout his Saturday afternoon broadcasts on ABC , died Jan. 12 . He was 89 . ESPN first announced his death . Other details were not immediately available . In a 54 - year broadcasting career , Mr. Jackson covered a wide variety of sports for radio and television , but he was best known as ABC 's voice of NCAA football - and for the homespun phrases he used . To Mr. Jackson , linemen were not guards and tackles , they were "" the big uglies . "" Running backs did not drop the ball ; there was a "" fuumm - bull ! "" Of an undersized player , he might say , "" He 's a little - bitty thing , a bantam rooster . But he 's young . If he keeps eatin ' his cornbread , he 'll be man - sized someday . "" And , of course , there was "" Whoa , Nellie ! "" - his signature phrase . Mr. Jackson in 2014 . ( Dean Hare / AP ) Or was it ? Strangers in restaurants , airports , stadium parking lots and downtown streets would sidle up to Mr. Jackson and bellow , "" Whoa , Nellie ! ""","I imagine this number in the millions taking into account he had a 54 year broadcasting carreer , so sad , but he was old .","Yes, he had a huge voice and it was old enough to be covered in news that was pretty interesting.",hallucination,"disclosure,edification,ack.,confirmation"
"However , he always maintained that he might have used the phrase a time or two early in his career but that mostly it was the work of impersonators , primarily fellow broadcaster Roy Firestone , who were responsible for the spread of the phrase . Despite his protests , however , Mr. Jackson enthusiastically proclaimed , "" Whoa , Nellie ! "" in a beer commercial late in his career . He was so entrenched in college football that ABC would not let him retire the first time he tried . He announced before the 1998 season that it would be his last because , at 70 , he was tired of getting on airplanes . But he was back in the booth in the fall of 1999 , lured by the network with a promise of keeping him close to his home near Los Angeles by restricting his assignments to the Pacific time zone . He finally called it a career after the national championship victory by the University of Texas over the University of Southern California at the Rose Bowl in early 2006 . If Mr. Jackson was highly regarded by viewers and listeners , he was equally respected by many coaches . 1 of 66 Full Screen Autoplay Close Skip Ad ? Notable deaths so far this year View Photos Remembering those who have died in 2017 . Caption Remembering those who died in 2017 . Mamie "" Peanut "" Johnson Mamie "" Peanut "" Johnson , the first female pitcher in the Negro leagues , died on Dec. 18 . Read the obituary : Mamie ' Peanut ' Johnson , hard - throwing woman in baseball 's Negro leagues , dies at 82 Katherine Frey / The Washington Post Buy Photo Wait 1 second to continue . "" He 's my hero , "" former Iowa coach Hayden Fry once told the Associated Press . "" He stands for all the good things associated with college football . ""","I like that he used this phrase alot Whoa , Nellie !",Do you know why he was so passionate about college football?,hallucination,question
"Football is a family of team sports that involve , to varying degrees , kicking a ball to score a goal .   Unqualified , the word football is understood to refer to whichever form of football is the most popular in the regional context in which the word appears . Sports commonly called football in certain places include association football ( known as soccer in some countries ) ; gridiron football ( specifically American football or Canadian football ) ; Australian rules football ; rugby football ( either rugby league or rugby union ) ; and Gaelic football . These different variations of football are known as football codes . Snoop Dogg wrote a fight song for his son 's high school football team . the highest paid across all U.S. Department of Defense employees are three football coaches of the service branch teams the high school football stadium in Allen , Texas seats 18,000 and cost $ 60 million to build 14 of the world 's 25 largest stadiums belong to American college football teams . Those Humungous American Flags at Football Stadiums Weigh 1,100 Pounds and Cost $ 50,000 to Make","That was a good phrase I liked it as well , did you see the beer comercial , the one in which he used this phrase ?","I did, I thought it was hilarious, how about that one?",hallucination,"disclosure,question,ack.,confirmation"
"However , he always maintained that he might have used the phrase a time or two early in his career but that mostly it was the work of impersonators , primarily fellow broadcaster Roy Firestone , who were responsible for the spread of the phrase . Despite his protests , however , Mr. Jackson enthusiastically proclaimed , "" Whoa , Nellie ! "" in a beer commercial late in his career . He was so entrenched in college football that ABC would not let him retire the first time he tried . He announced before the 1998 season that it would be his last because , at 70 , he was tired of getting on airplanes . But he was back in the booth in the fall of 1999 , lured by the network with a promise of keeping him close to his home near Los Angeles by restricting his assignments to the Pacific time zone . He finally called it a career after the national championship victory by the University of Texas over the University of Southern California at the Rose Bowl in early 2006 . If Mr. Jackson was highly regarded by viewers and listeners , he was equally respected by many coaches . 1 of 66 Full Screen Autoplay Close Skip Ad ? Notable deaths so far this year View Photos Remembering those who have died in 2017 . Caption Remembering those who died in 2017 . Mamie "" Peanut "" Johnson Mamie "" Peanut "" Johnson , the first female pitcher in the Negro leagues , died on Dec. 18 . Read the obituary : Mamie ' Peanut ' Johnson , hard - throwing woman in baseball 's Negro leagues , dies at 82 Katherine Frey / The Washington Post Buy Photo Wait 1 second to continue . "" He 's my hero , "" former Iowa coach Hayden Fry once told the Associated Press . "" He stands for all the good things associated with college football . "" ",I did n't . I did see the ABC would not let him retire at 70 !,"I know, right?  It was a great show.  He was very popular in the late sixties and seventies.",hallucination,"disclosure,edification,ack.,confirmation"
"Basketball is a team sport in which two teams , most commonly of five players each , opposing one another on a rectangular court , compete with the primary objective of shooting a basketball ( approximately 9.4 inches ( 24 cm ) in diameter ) through the defender 's hoop ( a basket 18 inches ( 46 cm ) in diameter mounted 10 feet ( 3.048 m ) high to a backboard at each end of the court ) while preventing the opposing team from shooting through their own hoop .   A field goal is worth two points , unless made from behind the three - point line , when it is worth three .   After a foul , timed play stops and the player fouled or designated to shoot a technical foul is given one or more one - point free throws .   The team with the most points at the end of the game wins , but if regulation play expires with the score tied , an additional period of play ( overtime ) is mandated . Space Jam is the highest - grossing basketball movie of all time . The American basketball team , the Washington Generals , played the Harlem Globetrotters over 13,000 times but only won 6 games . both volleyball and basketball were invented at the YMCA Vasectomy rates increase during March Madness so that men can stay at home for a few days to watch basketball . Shaq only has one recorded 3pt score throughout his entire basketball career","Yeah I think he ended his carreer in 2006 , he got lured and decided to stay , he had a great voice .",I know.  He played in the Basketball Association for the first few years after being drafted.  He was a great player and he was the reason the Harlem Globetrotters won the most popular basketball team.,hallucination,"edification,ack.,confirmation"
"After announcing his retirement in 1998 , he was honored wherever he went to work games . At the University of Michigan , the marching band spelled out , "" THANKS KEITH . "" On the air , Mr. Jackson kept his opinions to himself , concentrating on the action . His broadcasting philosophy was a simple one : "" Amplify , clarify and punctuate , and let the viewer draw his or her own conclusion . "" He was roundly criticized for ignoring an ugly incident late in the 1978 Gator Bowl game , when Ohio State coach Woody Hayes punched Clemson player Charlie Baumann after Baumann had intercepted a pass near the Ohio State sideline . Recalling the scene for the Atlanta Journal - Constitution in 1999 , Mr. Jackson said that because the sideline was crowded with players and officials , "" the fact of the matter is , I did n't see [ the punch ] . . . . If people go back and listen , I said , ' Let 's look at the tape and see what happened . ' "" Mr. Jackson rose above that incident , later winning an Emmy and being inducted into two sportscasting halls of fame . Besides his college football work , he called college and pro basketball games , Major League Baseball , auto racing and the Summer and Winter Olympics . In 1970 , he was the first play - by - play announcer for the "" Monday Night Football "" NFL broadcast on ABC . Survivors include his wife , three children and three grandchildren .",He was also a marine . Looks like he had been calling games since he was young .,I know.  He was also a marine.  He was also a marine.,hallucination,"edification,ack.,confirmation"
"After announcing his retirement in 1998 , he was honored wherever he went to work games . At the University of Michigan , the marching band spelled out , "" THANKS KEITH . "" On the air , Mr. Jackson kept his opinions to himself , concentrating on the action . His broadcasting philosophy was a simple one : "" Amplify , clarify and punctuate , and let the viewer draw his or her own conclusion . "" He was roundly criticized for ignoring an ugly incident late in the 1978 Gator Bowl game , when Ohio State coach Woody Hayes punched Clemson player Charlie Baumann after Baumann had intercepted a pass near the Ohio State sideline . Recalling the scene for the Atlanta Journal - Constitution in 1999 , Mr. Jackson said that because the sideline was crowded with players and officials , "" the fact of the matter is , I did n't see [ the punch ] . . . . If people go back and listen , I said , ' Let 's look at the tape and see what happened . ' "" Mr. Jackson rose above that incident , later winning an Emmy and being inducted into two sportscasting halls of fame . Besides his college football work , he called college and pro basketball games , Major League Baseball , auto racing and the Summer and Winter Olympics . In 1970 , he was the first play - by - play announcer for the "" Monday Night Football "" NFL broadcast on ABC . Survivors include his wife , three children and three grandchildren .","Wow this guy sure is full with suprises , he did nt only call football games but also pro basketball games as well as other sports .",He sure was.  I remember he went to Michigan University and they spelled out his thoughts on the halftime show.,"entailment,hallucination","disclosure,ack.,confirmation"
"After announcing his retirement in 1998 , he was honored wherever he went to work games . At the University of Michigan , the marching band spelled out , "" THANKS KEITH . "" On the air , Mr. Jackson kept his opinions to himself , concentrating on the action . His broadcasting philosophy was a simple one : "" Amplify , clarify and punctuate , and let the viewer draw his or her own conclusion . "" He was roundly criticized for ignoring an ugly incident late in the 1978 Gator Bowl game , when Ohio State coach Woody Hayes punched Clemson player Charlie Baumann after Baumann had intercepted a pass near the Ohio State sideline . Recalling the scene for the Atlanta Journal - Constitution in 1999 , Mr. Jackson said that because the sideline was crowded with players and officials , "" the fact of the matter is , I did n't see [ the punch ] . . . . If people go back and listen , I said , ' Let 's look at the tape and see what happened . ' "" Mr. Jackson rose above that incident , later winning an Emmy and being inducted into two sportscasting halls of fame . Besides his college football work , he called college and pro basketball games , Major League Baseball , auto racing and the Summer and Winter Olympics . In 1970 , he was the first play - by - play announcer for the "" Monday Night Football "" NFL broadcast on ABC . Survivors include his wife , three children and three grandchildren .",Crazy busy it seems . He did n't say anything when Woody Hayes punched a clemson player either !,I don't know if I agree with Woody Hayes but he was an amazing person.,hallucination,disclosure
"After announcing his retirement in 1998 , he was honored wherever he went to work games . At the University of Michigan , the marching band spelled out , "" THANKS KEITH . "" On the air , Mr. Jackson kept his opinions to himself , concentrating on the action . His broadcasting philosophy was a simple one : "" Amplify , clarify and punctuate , and let the viewer draw his or her own conclusion . "" He was roundly criticized for ignoring an ugly incident late in the 1978 Gator Bowl game , when Ohio State coach Woody Hayes punched Clemson player Charlie Baumann after Baumann had intercepted a pass near the Ohio State sideline . Recalling the scene for the Atlanta Journal - Constitution in 1999 , Mr. Jackson said that because the sideline was crowded with players and officials , "" the fact of the matter is , I did n't see [ the punch ] . . . . If people go back and listen , I said , ' Let 's look at the tape and see what happened . ' "" Mr. Jackson rose above that incident , later winning an Emmy and being inducted into two sportscasting halls of fame . Besides his college football work , he called college and pro basketball games , Major League Baseball , auto racing and the Summer and Winter Olympics . In 1970 , he was the first play - by - play announcer for the "" Monday Night Football "" NFL broadcast on ABC . Survivors include his wife , three children and three grandchildren .","Yeah I heard he was criticized because of this , wonder why he did that , maybe he had it coming .","Good question.  I know he was a great football player, he was the highest paid play on the football team in the league.",hallucination,"disclosure,edification,ack."
"After announcing his retirement in 1998 , he was honored wherever he went to work games . At the University of Michigan , the marching band spelled out , "" THANKS KEITH . "" On the air , Mr. Jackson kept his opinions to himself , concentrating on the action . His broadcasting philosophy was a simple one : "" Amplify , clarify and punctuate , and let the viewer draw his or her own conclusion . "" He was roundly criticized for ignoring an ugly incident late in the 1978 Gator Bowl game , when Ohio State coach Woody Hayes punched Clemson player Charlie Baumann after Baumann had intercepted a pass near the Ohio State sideline . Recalling the scene for the Atlanta Journal - Constitution in 1999 , Mr. Jackson said that because the sideline was crowded with players and officials , "" the fact of the matter is , I did n't see [ the punch ] . . . . If people go back and listen , I said , ' Let 's look at the tape and see what happened . ' "" Mr. Jackson rose above that incident , later winning an Emmy and being inducted into two sportscasting halls of fame . Besides his college football work , he called college and pro basketball games , Major League Baseball , auto racing and the Summer and Winter Olympics . In 1970 , he was the first play - by - play announcer for the "" Monday Night Football "" NFL broadcast on ABC . Survivors include his wife , three children and three grandchildren .",I do n't think he saw the punch . He also won an Emmy !,"Yes, he was a genius.",hallucination,"disclosure,ack.,confirmation"
